nodes,spacing_metres,converged,iterations,runtime_seconds,average_terminal_current_density,relative_current_nonuniformity,poisson_residual,electron_continuity_residual,hole_continuity_residual,peak_electric_field,maximum_absolute_recombination,relative_current_error
41,2e-09,True,111,0.12391679920256138,0.11852478906700027,0.009114951903421365,2.1993949459938213e-10,0.9999982840699804,0.999999879090265,6846188.924331666,8.150469393967638e+21,0.0010544816381694215
81,1e-09,True,115,0.15024619922041893,0.11844740919366034,0.008801765563016224,1.6097709621323894e-10,0.9999985603896507,0.9999999727764863,6846179.422388489,8.150482076784467e+21,0.00040093507119984343
161,5e-10,True,118,0.1916159987449646,0.11848132436508223,0.00975179128609563,3.580738920129928e-10,0.9999968117982343,0.9999999942656749,6846177.016101496,8.150485247487129e+21,0.000687380924549676
321,2.5e-10,True,122,0.2775544002652168,0.11838301857234967,0.008311634493771402,8.184223623498667e-10,0.99998979208139,0.9999999983709704,6846176.412583726,8.150486040175198e+21,0.00014290491827334667
641,1.25e-10,True,125,0.46276040002703667,0.11839993850588543,0.00865739096505381,3.6669485016262792e-09,0.9999982057989252,0.9999999996154202,6846176.261581931,8.150486238351477e+21,0.0
