shape_axis_0,shape_axis_1,grid_points,spacing_axis_0_m,spacing_axis_1_m,representative_spacing_m,solver_runtime_seconds,total_runtime_seconds,matrix_nonzero_entries,potential_maximum_error_v,potential_maximum_order,potential_rms_error_v,potential_rms_order,electric_field_axis_0_maximum_error_v_per_m,electric_field_axis_0_rms_error_v_per_m,electric_field_axis_1_maximum_error_v_per_m,electric_field_axis_1_rms_error_v_per_m,electric_field_magnitude_maximum_error_v_per_m,electric_field_magnitude_rms_error_v_per_m,electric_field_magnitude_rms_order,final_residual,converged
26,21,546,3.9999999999999994e-09,4e-09,4e-09,0.05696829967200756,0.05860480107367039,2284,0.0004126559478784819,,0.00019719924809643753,,164454.35064734519,30756.412214146865,190948.05770458654,36497.14952831553,190901.80175544322,43229.59814720404,,1.865174681370263e-14,True
51,41,2091,1.9999999999999997e-09,2e-09,2e-09,0.2850866001099348,0.2859020009636879,9559,0.00010349851587754255,1.9953293547559223,5.044727261633703e-05,1.9668058722340336,41284.60233937204,6569.014061474871,49734.305186446756,7915.989767040353,49734.305186446756,8914.870496065434,2.2777336798508028,1.9539925233402755e-14,True
101,81,8181,9.999999999999999e-10,1e-09,1e-09,2.251708699390292,2.252785200253129,39109,2.589931793695044e-05,1.9986240703713514,1.2756053088637444e-05,1.983594266529478,10331.8557019718,1481.8283627989986,12674.526214059442,1766.8610094462633,12674.526214059442,1913.0439697283891,2.2203438071446584,1.7763568394002505e-14,True
201,161,32361,4.999999999999999e-10,5e-10,5e-10,20.52083189971745,20.523771699517965,158209,6.475345398493371e-06,1.999885050673764,3.207097687811531e-06,1.9918418030999225,2583.6332566700876,348.70738012100526,3198.919491942972,409.46034112695753,3198.919491942972,430.70120885211423,2.151110755293191,2.6645352591003757e-14,True
