grid_points,grid_spacing_m,rms_error_V,runtime_s,observed_order
21,5e-10,0.0014206426349893393,0.001283399760723114,
41,2.5e-10,0.00035913319203744886,0.001005701720714569,1.9839527859281008
81,1.25e-10,9.031491950553426e-05,0.0012571997940540314,1.9914827594145352
161,6.25e-11,2.2647431839424132e-05,0.0017604976892471313,1.9956168706846886
